,Date,Timestamp,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,ethereum,Total,ethereum,ethereum,ethereum,ethereum,Total,Total,Total,Total,Total,ethereum,ethereum,ethereum,ethereum,Total,Total,Total,Total,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,WETH,USDC,SAI,DAI,UNKNOWN (0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359),WETH,USDC,DAI,SAI,WETH,USDC,SAI,DAI,UNKNOWN (0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359),WETH,USDC,DAI,SAI
,05/08/2022,1659657600,545979155.8637719,545979155.8637719,2971911.591394296,539032844.5411608,,3974399.7312167995,,2971911.591394296,539032844.5411608,3974399.7312167995,,1844.4643269207304,538494350.19097,,3974399.7312167995,,1844.4643269207304,538494350.19097,3974399.7312167995,
,06/08/2022,1659744000,533246353.66707814,533246353.66707814,3208359.500575761,526068020.6999839,,3969973.4665184664,,3208359.500575761,526068020.6999839,3969973.4665184664,,1844.4571881938998,526741195.948406,,3974297.502200861,,1844.4571881938998,526741195.948406,3974297.502200861,
,07/08/2022,1659830400,533174988.9813437,533174988.9813437,3103718.484374988,526100430.63359475,,3970839.863373946,,3103718.484374988,526100430.63359475,3970839.863373946,,1844.4542406535736,525574855.777817,,3974297.502200861,,1844.4542406535736,525574855.777817,3974297.502200861,
,08/08/2022,1659916800,532776878.5479569,532776878.5479569,3148169.831574739,525659050.39643365,,3969658.31994852,,3148169.831574739,525659050.39643365,3969658.31994852,,1844.4542406535736,525967793.491213,,3974284.386974959,,1844.4542406535736,525967793.491213,3974284.386974959,
,09/08/2022,1660003200,535061056.5772324,535061056.5772324,3280952.0923593896,527797871.52912414,,3982232.955748909,,3280952.0923593896,527797871.52912414,3982232.955748909,,1844.4542406535736,527270600.928196,,3974284.386974959,,1844.4542406535736,527270600.928196,3974284.386974959,
,10/08/2022,1660089600,532492200.8051563,532492200.8051563,3086399.0590552506,525423568.7903521,,3982232.955748909,,3086399.0590552506,525423568.7903521,3982232.955748909,,1844.4542406535736,524374819.152048,,3974284.386974959,,1844.4542406535736,524374819.152048,3974284.386974959,
,11/08/2022,1660176000,536100366.1705179,536100366.1705179,3463423.950387248,528654709.26438177,,3982232.955748909,,3463423.950387248,528654709.26438177,3982232.955748909,,1844.4542406535736,527599510.243894,,3974284.386974959,,1844.4542406535736,527599510.243894,3974284.386974959,
,12/08/2022,1660262400,524487731.69485193,524487731.69485193,3489080.3088747393,519377666.1327153,,1620985.2532619112,,3489080.3088747393,519377666.1327153,1620985.2532619112,,1844.4542406535736,518858807.32539,,1620985.2532619112,,1844.4542406535736,518858807.32539,1620985.2532619112,
,13/08/2022,1660348800,521008834.16179353,521008834.16179353,3604690.700678905,515785041.79271704,,1619101.6683976208,,3604690.700678905,515785041.79271704,1619101.6683976208,,1844.4542406535736,516100895.540788,,1620985.2532619112,,1844.4542406535736,516100895.540788,1620985.2532619112,
,14/08/2022,1660435200,510424608.5051844,510424608.5051844,3673949.957415447,505128052.30925375,,1622606.2385151729,,3673949.957415447,505128052.30925375,1622606.2385151729,,1844.4542406535736,504119812.683886,,1620985.2532619112,,1844.4542406535736,504119812.683886,1620985.2532619112,
,15/08/2022,1660521600,501065216.6643415,501065216.6643415,3602495.8001325275,495840114.6256938,,1622606.2385151729,,3602495.8001325275,495840114.6256938,1622606.2385151729,,1844.4542406535736,495344769.855838,,1620985.2532619112,,1844.4542406535736,495344769.855838,1620985.2532619112,
,16/08/2022,1660608000,492307896.2383343,492307896.2383343,3500774.1487604827,487186136.8363119,,1620985.2532619112,,3500774.1487604827,487186136.8363119,1620985.2532619112,,1844.4542406535736,486699437.398913,,1620985.2532619112,,1844.4542406535736,486699437.398913,1620985.2532619112,
,17/08/2022,1660694400,493456806.36924744,493456806.36924744,3499206.3626559274,488335116.7608238,,1622483.2457677168,,3499206.3626559274,488335116.7608238,1622483.2457677168,,1844.4542406535736,487360395.968886,,1620862.3833843325,,1844.4542406535736,487360395.968886,1620862.3833843325,
,18/08/2022,1660780800,492995115.06346196,492995115.06346196,3407868.9886587625,487964762.82903546,,1622483.2457677168,,3407868.9886587625,487964762.82903546,1622483.2457677168,,1844.4542406535736,487477285.543492,,1620862.3833843325,,1844.4542406535736,487477285.543492,1620862.3833843325,
,19/08/2022,1660867200,490772295.74769676,490772295.74769676,3369338.339571509,485782886.005584,,1620071.402541241,,3369338.339571509,485782886.005584,1620071.402541241,,1844.4542406535736,485782886.005584,,1620862.3833843325,,1844.4542406535736,485782886.005584,1620862.3833843325,
,20/08/2022,1660953600,492703261.00554866,492703261.00554866,3007271.9721312127,488073505.78764975,,1622483.2457677168,,3007271.9721312127,488073505.78764975,1622483.2457677168,,1844.4542406535736,487585919.867782,,1620862.3833843325,,1844.4542406535736,487585919.867782,1620862.3833843325,
,21/08/2022,1661040000,495124476.90664285,495124476.90664285,2912559.246873651,490591230.32952225,,1620687.330246927,,2912559.246873651,490591230.32952225,1620687.330246927,,1844.4542406535736,490101129.200322,,1620862.3833843325,,1844.4542406535736,490101129.200322,1620862.3833843325,
,22/08/2022,1661126400,495223815.0813475,495223815.0813475,2975623.4534796667,490624087.51971674,,1624104.1081511013,,2975623.4534796667,490624087.51971674,1624104.1081511013,,1844.3642172110794,489644797.923869,,1620862.3833843325,,1844.3642172110794,489644797.923869,1620862.3833843325,
,23/08/2022,1661212800,507105239.6932589,507105239.6932589,2989345.5232557175,502496584.5727821,,1619309.5972210504,,2989345.5232557175,502496584.5727821,1619309.5972210504,,1844.3642172110794,502882295.293272,,1620862.3833843325,,1844.3642172110794,502882295.293272,1620862.3833843325,
,24/08/2022,1661299200,507370949.28211385,507370949.28211385,3024222.450603179,502725864.4481263,,1620862.3833843325,,3024222.450603179,502725864.4481263,1620862.3833843325,,1844.3642172110794,503505290.638034,,1620862.3833843325,,1844.3642172110794,503505290.638034,1620862.3833843325,
,25/08/2022,1661385600,510508572.4581927,510508572.4581927,3079332.053413446,505808468.7896884,,1620771.615090863,,3079332.053413446,505808468.7896884,1620771.615090863,,1844.3642172110794,505939507.122033,,1620862.3833843325,,1844.3642172110794,505939507.122033,1620862.3833843325,
,26/08/2022,1661472000,509906105.3281213,509906105.3281213,3101464.424019979,505180536.79595023,,1624104.1081511013,,3101464.424019979,505180536.79595023,1624104.1081511013,,1844.3642172110794,504172192.411128,,1620862.3833843325,,1844.3642172110794,504172192.411128,1620862.3833843325,
,27/08/2022,1661558400,513134498.7842608,513134498.7842608,2782518.519937667,508724657.27395064,,1627322.9903724985,,2782518.519937667,508724657.27395064,1627322.9903724985,,1844.3642172110794,507203048.129562,,1620839.631845118,,1844.3642172110794,507203048.129562,1620839.631845118,
,28/08/2022,1661644800,511338788.6007284,511338788.6007284,2740669.895849148,506975658.2334023,,1622460.471476963,,2740669.895849148,506975658.2334023,1622460.471476963,,1844.3642172110794,506469189.044358,,1620839.631845118,,1844.3642172110794,506469189.044358,1620839.631845118,
,29/08/2022,1661731200,508547023.2043425,508547023.2043425,2645869.575084498,504278693.157781,,1622460.471476963,,2645869.575084498,504278693.157781,1622460.471476963,,1844.3642172110794,504278693.157781,,1620839.631845118,,1844.3642172110794,504278693.157781,1620839.631845118,
,30/08/2022,1661817600,504608605.7994951,504608605.7994951,2845743.325303663,500140402.00271446,,1622460.471476963,,2845743.325303663,500140402.00271446,1622460.471476963,,1844.3642172110794,499640761.241473,,1620839.631845118,,1844.3642172110794,499640761.241473,1620839.631845118,
,31/08/2022,1661904000,503113065.2026653,503113065.2026653,2857731.692715535,498635173.0099104,,1620160.500039375,,2857731.692715535,498635173.0099104,1620160.500039375,,1844.3642172110794,498663596.83493,,1620839.631845118,,1844.3642172110794,498663596.83493,1620839.631845118,
,01/09/2022,1661990400,500997128.7192312,500997128.7192312,2841538.174888422,496536449.5524318,,1619140.9919109442,,2841538.174888422,496536449.5524318,1619140.9919109442,,1844.3642172110794,497504593.491366,,1620839.631845118,,1844.3642172110794,497504593.491366,1620839.631845118,
,02/09/2022,1662076800,480647016.3806349,480647016.3806349,2912730.633672769,476113734.6245715,,1620551.1223906495,,2912730.633672769,476113734.6245715,1620551.1223906495,,1844.3642172110794,476183257.380149,,1620839.631845118,,1844.3642172110794,476183257.380149,1620839.631845118,
,03/09/2022,1662163200,480429053.42302716,480429053.42302716,2911365.8041520333,475896847.98703,,1620839.631845118,,2911365.8041520333,475896847.98703,1620839.631845118,,1844.3642172110794,475896847.98703,,1620839.631845118,,1844.3642172110794,475896847.98703,1620839.631845118,
,04/09/2022,1662249600,479613332.2272529,479613332.2272529,2878775.8884339132,475113739.183989,,1620817.1548299806,,2878775.8884339132,475113739.183989,1620817.1548299806,,1844.3642172110794,475113739.183989,,1620817.1548299806,,1844.3642172110794,475113739.183989,1620817.1548299806,
,05/09/2022,1662336000,480880702.01686937,480880702.01686937,2905463.8386569577,476352827.080104,,1622411.0981084118,,2905463.8386569577,476352827.080104,1622411.0981084118,,1844.3642172110794,476352827.080104,,1620790.3078006112,,1844.3642172110794,476352827.080104,1620790.3078006112,
,06/09/2022,1662422400,480900988.6972608,480900988.6972608,3051537.484660075,476227040.1144923,,1622411.0981084118,,3051537.484660075,476227040.1144923,1622411.0981084118,,1844.3642172110794,474329721.229574,,1620790.3078006112,,1844.3642172110794,474329721.229574,1620790.3078006112,
,07/09/2022,1662508800,477638334.3580963,477638334.3580963,2829992.4548886805,473187551.595407,,1620790.3078006112,,2829992.4548886805,473187551.595407,1620790.3078006112,,1844.3642172110794,473187551.595407,,1620790.3078006112,,1844.3642172110794,473187551.595407,1620790.3078006112,
,08/09/2022,1662595200,480980927.7776309,480980927.7776309,2995708.5798050957,476362808.09971744,,1622411.0981084118,,2995708.5798050957,476362808.09971744,1622411.0981084118,,1844.3642172110794,475886921.178539,,1620790.3078006112,,1844.3642172110794,475886921.178539,1620790.3078006112,
,09/09/2022,1662681600,472335152.63830185,472335152.63830185,3022101.4317533863,467692260.89874786,,1620790.3078006112,,3022101.4317533863,467692260.89874786,1620790.3078006112,,1844.3642172110794,467225035.862885,,1620790.3078006112,,1844.3642172110794,467225035.862885,1620790.3078006112,
